Tabelle: 12612-0009
Total fertility rate (per woman): Germany, years, age groups;;
of the women;;
Birth statistics;;;;
Germany;;;;
Total fertility rate (per woman) (number);;;;
;Age groups of the women;;;
;15 to under 45 years;;15 to under 50 years;
1972;1.729;e;1.732;e
1973;1.555;e;1.558;e
1974;1.525;e;1.528;e
1975;1.479;e;1.481;e
1976;1.502;e;1.504;e
1977;1.510;e;1.512;e
1978;1.501;e;1.503;e
1979;1.498;e;1.499;e
1980;1.556;e;1.558;e
1981;1.529;e;1.530;e
1982;1.505;e;1.506;e
1983;1.429;e;1.430;e
1984;1.383;e;1.384;e
1985;1.373;e;1.374;e
1986;1.414;e;1.415;e
1987;1.438;e;1.439;e
1988;1.457;e;1.458;e
1989;1.423;e;1.424;e
1990;1.453;e;1.454;e
1991;1.331;e;1.332;e
1992;1.291;e;1.292;e
1993;1.277;e;1.278;e
1994;1.241;e;1.243;e
1995;1.248;e;1.249;e
1996;1.315;e;1.316;e
1997;1.368;e;1.369;e
1998;1.354;e;1.355;e
1999;1.360;e;1.361;e
2000;1.377;e;1.379;e
2001;1.347;e;1.349;e
2002;1.340;e;1.341;e
2003;1.339;e;1.340;e
2004;1.354;e;1.355;e
2005;1.338;e;1.340;e
2006;1.329;e;1.331;e
2007;1.368;e;1.370;e
2008;1.374;e;1.376;e
2009;1.356;e;1.358;e
2010;1.391;e;1.393;e
2011;1.389;e;1.391;e
2012;1.403;e;1.406;e
2013;1.416;e;1.419;e
2014;1.472;e;1.475;e
2015;1.499;e;1.502;e
2016;1.588;e;1.592;e
2017;1.565;e;1.569;e
2018;1.560;e;1.565;e
2019;1.535;e;1.540;e
2020;1.522;e;1.527;e
2021;1.571;e;1.576;e
2022;1.449;e;1.455;e
2023;1.348;e;1.354;e
__________
"Total fertility rate (""average number of children per
woman""):
Total of the age-specific fertility rates according to the
year-of-birth method.

From 2011: Results based on the 2011 Census."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:20:56
