Year;15 to under 45 years;15 to under 50 years
1972;1.729;1.732
1973;1.555;1.558
1974;1.525;1.528
1975;1.479;1.481
1976;1.502;1.504
1977;1.510;1.512
1978;1.501;1.503
1979;1.498;1.499
1980;1.556;1.558
1981;1.529;1.530
1982;1.505;1.506
1983;1.429;1.430
1984;1.383;1.384
1985;1.373;1.374
1986;1.414;1.415
1987;1.438;1.439
1988;1.457;1.458
1989;1.423;1.424
1990;1.453;1.454
1991;1.331;1.332
1992;1.291;1.292
1993;1.277;1.278
1994;1.241;1.243
1995;1.248;1.249
1996;1.315;1.316
1997;1.368;1.369
1998;1.354;1.355
1999;1.360;1.361
2000;1.377;1.379
2001;1.347;1.349
2002;1.340;1.341
2003;1.339;1.340
2004;1.354;1.355
2005;1.338;1.340
2006;1.329;1.331
2007;1.368;1.370
2008;1.374;1.376
2009;1.356;1.358
2010;1.391;1.393
2011;1.389;1.391
2012;1.403;1.406
2013;1.416;1.419
2014;1.472;1.475
2015;1.499;1.502
2016;1.588;1.592
2017;1.565;1.569
2018;1.560;1.565
2019;1.535;1.540
2020;1.522;1.527
2021;1.571;1.576
2022;1.449;1.455
2023;1.348;1.354
