Year;Twin births;Triplet births;Quadruplet births or more
1950;13103;104;2
1951;13181;103;1
1952;12698;111;1
1953;12295;107;2
1954;12728;99;1
1955;13089;111;0
1956;13307;119;1
1957;13380;122;0
1958;13428;113;3
1959;14183;128;4
1960;14509;111;1
1961;14701;137;0
1962;14657;128;2
1963;14817;128;1
1964;15028;116;0
1965;14365;117;3
1966;13773;147;0
1967;13018;110;1
1968;12186;107;1
1969;11296;95;2
1970;10250;103;1
1971;9751;91;0
1972;8558;64;2
1973;7699;81;1
1974;7554;78;2
1975;7186;72;0
1976;7488;74;5
1977;7141;75;2
1978;7243;60;1
1979;7371;60;2
1980;7967;94;6
1981;7781;103;7
1982;7867;95;5
1983;7792;76;9
1984;7909;124;11
1985;8249;137;17
1986;8792;138;15
1987;9186;158;22
1988;9483;217;21
1989;9544;215;20
1990;10024;204;13
1991;9620;234;11
1992;9564;240;12
1993;9826;276;11
1994;9744;262;11
1995;10095;280;10
1996;11063;386;16
1997;11465;401;13
1998;11702;491;10
1999;11481;486;9
2000;11546;398;9
2001;11064;346;11
2002;11438;341;1
2003;11148;295;5
2004;12032;338;10
2005;10447;242;10
2006;10538;223;3
2007;10829;247;8
2008;10820;247;5
2009;11026;251;9
2010;11573;258;7
2011;11254;230;6
2012;11648;230;3
2013;12119;230;6
2014;12977;282;11
2015;13368;258;11
2016;14371;258;6
2017;14415;287;10
2018;14099;260;6
2019;14088;265;5
2020;13663;198;6
2021;13390;202;4
2022;12532;196;10
2023;11096;176;.
