Year;German;Foreign
1991;1.255;2.039
1992;1.203;2.020
1993;1.187;1.931
1994;1.153;1.838
1995;1.162;1.801
1996;1.223;1.883
1997;1.278;1.924
1998;1.273;1.865
1999;1.286;1.829
2000;1.306;1.836
2001;1.288;1.738
2002;1.284;1.712
2003;1.284;1.702
2004;1.304;1.692
2005;1.291;1.663
2006;1.285;1.639
2007;1.332;1.638
2008;1.348;1.584
2009;1.331;1.570
2010;1.365;1.611
2011;1.339;1.818
2012;1.357;1.792
2013;1.367;1.798
2014;1.417;1.862
2015;1.427;1.955
2016;1.460;2.280
2017;1.453;2.151
2018;1.448;2.122
2019;1.428;2.062
2020;1.426;1.999
2021;1.487;2.006
2022;1.359;1.879
2023;1.257;1.741
