Tabelle: 12612-0011
Net reproduction rate: Germany, years, age groups of the;;
women;;
Birth statistics;;;;
Germany;;;;
Net reproduction rate (rate);;;;
;Age groups of the women;;;
;15 to under 45 years;;15 to under 50 years;
1990;0.696;e;0.696;e
1991;0.638;e;0.638;e
1992;0.620;e;0.620;e
1993;0.612;e;0.612;e
1994;0.594;e;0.594;e
1995;0.598;e;0.598;e
1996;0.629;e;0.629;e
1997;0.655;e;0.656;e
1998;0.649;e;0.649;e
1999;0.650;e;0.651;e
2000;0.664;e;0.665;e
2001;0.648;e;0.649;e
2002;0.646;e;0.646;e
2003;0.645;e;0.646;e
2004;0.653;e;0.654;e
2005;0.646;e;0.647;e
2006;0.640;e;0.641;e
2007;0.659;e;0.660;e
2008;0.664;e;0.665;e
2009;0.655;e;0.656;e
2010;0.673;e;0.674;e
2011;0.671;e;0.672;e
2012;0.677;e;0.679;e
2013;0.684;e;0.685;e
2014;0.711;e;0.712;e
2015;0.724;e;0.726;e
2016;0.769;e;0.771;e
2017;0.756;e;0.758;e
2018;0.754;e;0.756;e
2019;0.742;e;0.744;e
2020;0.734;e;0.737;e
2021;0.759;e;0.761;e
2022;0.700;e;0.703;e
2023;0.652;e;0.655;e
__________
"Net reproduction rate:
Average number of live daughters born to a woman, subject to
the mortality rates.
Age of the mother determined according to the year-of-birth
method.

From 2011: Results based on the 2011 Census."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:21:22
