Tabelle: 12612-0021
Total paternity rate: Germany, years, age groups;;
Birth statistics;;;;
Germany;;;;
Total paternity rate (number);;;;
;Age groups;;;
;15 to under 50 years;;15 to under 70 years;
1991;1.220;e;1.230;e
1992;1.190;e;1.200;e
1993;1.160;e;1.170;e
1994;1.110;e;1.120;e
1995;1.120;e;1.130;e
1996;1.160;e;1.170;e
1997;1.200;e;1.210;e
1998;1.180;e;1.190;e
1999;1.180;e;1.190;e
2000;1.200;e;1.210;e
2001;1.170;e;1.180;e
2002;1.170;e;1.180;e
2003;1.170;e;1.180;e
2004;1.190;e;1.210;e
2005;1.180;e;1.200;e
2006;1.180;e;1.200;e
2007;1.220;e;1.240;e
2008;1.240;e;1.260;e
2009;1.230;e;1.250;e
2010;1.270;e;1.290;e
2011;1.270;e;1.290;e
2012;1.320;e;1.340;e
2013;1.330;e;1.350;e
2014;1.380;e;1.400;e
2015;1.400;e;1.420;e
2016;1.480;e;1.500;e
2017;1.460;e;1.480;e
2018;1.450;e;1.470;e
2019;1.420;e;1.450;e
2020;1.410;e;1.430;e
2021;1.450;e;1.470;e
2022;1.330;e;1.350;e
2023;1.230;e;1.250;e
__________
"Total paternity rate (""average number of children per man""):
Total of the age-specific paternity rates according to the
year-of-age method."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:27:49
