Year;Married;Not married;Total
1991;28.3;25.4;27.9
1992;28.5;25.8;28.1
1993;28.8;26.2;28.4
1994;29.0;26.6;28.6
1995;29.3;26.8;28.9
1996;29.5;27.0;29.1
1997;29.7;27.2;29.3
1998;29.9;27.3;29.4
1999;30.1;27.5;29.5
2000;30.3;27.5;29.6
2001;30.4;27.5;29.7
2002;30.6;27.5;29.8
2003;30.7;27.7;29.9
2004;30.8;27.8;30.0
2005;30.9;27.8;30.0
2006;31.0;27.9;30.1
2007;31.1;28.1;30.2
2008;31.3;28.3;30.3
2009;31.4;28.4;30.4
2010;31.4;28.6;30.5
2011;31.5;28.8;30.6
2012;31.6;28.9;30.7
2013;31.7;29.2;30.8
2014;31.8;29.4;30.9
2015;31.8;29.5;31.0
2016;31.8;29.6;31.0
2017;31.9;29.9;31.2
2018;32.0;30.1;31.3
2019;32.1;30.3;31.5
2020;32.2;30.4;31.6
2021;32.3;30.7;31.8
2022;32.3;30.7;31.7
2023;32.3;30.6;31.7
